"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",58971230,,
"001272","Torino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",851199,,
"002158","Vercelli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",45643,,
"023091","Verona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",255298,,
"024116","Vicenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",110299,,
"025006","Belluno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",35546,,
"026086","Treviso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",85322,,
"027042","Venezia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",250290,,
"028060","Padova","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",207502,,
"029041","Rovigo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",50090,,
"030129","Udine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",98304,,
"031007","Gorizia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",33608,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",198843,,
"093033","Pordenone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",52147,,
"008031","Imperia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",42490,,
"009056","Savona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",58674,,
"010025","Genova","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",562422,,
"011015","La Spezia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",92696,,
"033032","Piacenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",102887,,
"034027","Parma","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",198121,,
"035033","Reggio nell'Emilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",171207,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",184597,,
"037006","Bologna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",390098,,
"038008","Ferrara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",129391,,
"039014","Ravenna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",156304,,
"040012","Forlì","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",117050,,
"099014","Rimini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",150046,,
"045010","Massa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",65992,,
"046017","Lucca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",89234,,
"047014","Pistoia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",89054,,
"048017","Firenze","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",362613,,
"049009","Livorno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",153418,,
